term,tfidf,region
safety,0.2511028407070178,north
ai,0.24079388086297474,north
ethics,0.23702518386605476,north
research,0.2185701690801001,north
governance,0.1528960567674389,north
innovation,0.15159620118381043,north
regulation,0.1454963778869034,north
transparency,0.13044756079382497,north
trust,0.09670013705875179,north
standards,0.09324650634282476,north
infrastructure,0.07559901568365605,north
data,0.06883467018185216,north
publicsector,0.05869614640419468,north
export,0.05346343789326499,north
semiconductor,0.05346343789326499,north
equality,0.05245686212261631,north
europe,0.05176780486914238,north
sovereignty,0.05176780486914238,north
sustainability,0.051594811125061396,north
industry4,0.050452709488899454,north
