term,tfidf,region
access,0.3090875251929278,south
development,0.3090875251929278,south
inclusion,0.29275466505905673,south
infrastructure,0.2046632847248172,south
data,0.19894190485763458,south
innovation,0.19686785399569737,south
governance,0.1645730422815772,south
skills,0.1568003508353833,south
agriculture,0.09980106524523219,south
education,0.09829512468949389,south
broadband,0.09577296601664786,south
industry,0.0944678207954727,south
skilling,0.062028303196013726,south
capacity,0.059640368911830756,south
sustainability,0.054946955834912964,south
digital,0.052950479206741,south
economy,0.052950479206741,south
investment,0.049314464186619444,south
equity,0.04815573893106253,south
ethics,0.038854083903860415,south
