term,tfidf,region
safety,0.2511028407070178,north
ai,0.24079388086297474,north
ethics,0.23702518386605476,north
research,0.2185701690801001,north
governance,0.1528960567674389,north
innovation,0.15159620118381043,north
regulation,0.1454963778869034,north
transparency,0.13044756079382497,north
trust,0.09670013705875179,north
standards,0.09324650634282476,north
infrastructure,0.07559901568365605,north
data,0.06883467018185216,north
publicsector,0.05869614640419468,north
export,0.05346343789326499,north
semiconductor,0.05346343789326499,north
equality,0.05245686212261631,north
europe,0.05176780486914238,north
sovereignty,0.05176780486914238,north
sustainability,0.051594811125061396,north
industry4,0.050452709488899454,north
access,0.3090875251929278,south
development,0.3090875251929278,south
inclusion,0.29275466505905673,south
infrastructure,0.2046632847248172,south
data,0.19894190485763458,south
innovation,0.19686785399569737,south
governance,0.1645730422815772,south
skills,0.1568003508353833,south
agriculture,0.09980106524523219,south
education,0.09829512468949389,south
broadband,0.09577296601664786,south
industry,0.0944678207954727,south
skilling,0.062028303196013726,south
capacity,0.059640368911830756,south
sustainability,0.054946955834912964,south
digital,0.052950479206741,south
economy,0.052950479206741,south
investment,0.049314464186619444,south
equity,0.04815573893106253,south
ethics,0.038854083903860415,south
